content,kana,id
口下手,くちべた,1
口が軽い,くちがかるい,2
強引,ごういん,3
おおざっぱ,おおざっぱ,4
おっとり,おっとり,5
のんき,のんき,6
のんびり屋,のんびりや,7
めんどうくさがり,めんどうくさがり,8
いいかげん,いいかげん,9
だらしない,だらしない,10
仕切り屋,しきりや,11
ご機嫌取り,ごきげんとり,12
意見が言えない,いけんがいえない,13
おとなしい,おとなしい,14
無理をしがち,むりをしがち,15
けち,けち,16
うるさい,うるさい,17
夢がない,ゆめがない,18
勝気な,かちきな,19
負けず嫌い,まけずぎらい,20
おっとり,おっとり,21
のんき,のんき,22
のんびり屋,のんびりや,23
ぼうっとしている,ぼうっとしている,24
衝動的,しょうどうてき,25
向うみず,むこうみず,26
よく考えない,よくかんがえない,27
よく考えない,よくかんがえない,28
孤独,こどく,29
平凡,へいぼん,30
かたくるしい,かたくるしい,31
人に厳しい,ひとにきびしい,32
あきらめが悪い,あきらめがわるい,33
しつこい,しつこい,34
浮き沈みが激しい,うきしずみがはげしい,35
口先だけ,くちさきだけ,36
口がきつい,くちがきつい,37
口が悪い,くちがわるい,38
薄情,はくじょう,39
つめたい,つめたい,40
理屈っぽい,りくつっぽい,41
無口,むくち,42
