content,kana,uuid
あきっぽい,あきっぽい,fba62acc-64fd-4ece-95c0-7a5804655da5
あきらめが悪い,あきらめがわるい,cf0c53fe-e92e-4152-b3cc-c5f088d25c1b
暑苦しい,あつくるしい,7f39c8a9-f715-47f1-808f-8d21701f5c1e
甘えん坊,あまえんぼう,e3e09c8e-4c3e-404a-a39a-b03bf5f4213d
あわてんぼう,あわてんぼう,abf82e64-eb49-4603-a406-cca410d448cd
いいかげん,いいかげん,2b27da23-3766-406b-940d-02688d361ff3
行き当たりばったり,いきあたりばったり,b1bdbdf3-5901-4a93-bc4c-315b52e18455
意見が言えない,いけんがいえない,db289bc6-80a9-4f44-865b-90041282e4b1
いばり屋,いばりや,88531df7-8618-4642-9ef3-f45741f32977
浮き沈みが激しい,うきしずみがはげしい,153184bb-a410-4f30-9dee-5355a6eed3aa
うるさい,うるさい,11771958-5311-404c-ba81-1d4d9684ac2f
おおざっぱ,おおざっぱ,0b907a36-ba7f-44d6-a9dc-8050140b6d4f
おこりっぽい,おこりっぽい,dc8ef4a4-bf56-475e-b622-5faaf64605c6
おしゃべり,おしゃべり,06300fe6-c7ad-49bc-a714-9ba2749adfb3
おそい,おそい,af50734a-b22a-4391-b08c-d7d4f6e5c617
おっとり,おっとり,b4a40f04-d2b8-4030-96a5-f95eb87c41b0
おとなしい,おとなしい,69ed0334-47ae-4cd4-af76-108a59022844
かたくるしい,かたくるしい,956de3d2-2b5a-4bb0-8bd4-72dd21fa0564
勝気な,かちきな,9e450d8d-bbf5-435d-b243-2e6783e122e1
かっとなる,かっとなる,d4fc54b9-129c-4f89-9717-373f6f2c3221
変わっている,かわっている,19e1cc4b-38b1-4370-a416-069fd61fb94d
考えが固定している,かんがえがこていしている,3ed8ac2a-dcc5-42e2-bb26-5fbb439824c0
頑固,がんこ,0e7805af-93f9-49ac-9239-2a271aaf74a6
感情的,かんじょうてき,c56e159d-0cc3-48ff-bdfc-1a656f1656ab
気が弱い,きがよわい,20f9c008-eb04-42ae-81b2-f8284fba549e
気性が激しい,きしょうがはげしい,130000f4-71ce-45bd-800d-e5a2b5eabce3
口が軽い,くちがかるい,7559891b-f4be-43b5-9cec-f3bdc1be7284
口がきつい,くちがきつい,f4d083c7-f374-4329-ae87-ad6f45d91a1e
口が悪い,くちがわるい,821982d4-cb3e-4e1e-b918-4e5a511abcbf
口先だけ,くちさきだけ,8d425916-5eab-40ab-8c44-a321c6c2ea49
口下手,くちべた,0584b991-ed57-4c70-8e02-eba683099808
暗い,くらい,897400c4-13e4-48d8-9c8a-29703874a92f
けじめがない,けじめがない,150c4f18-cda6-4d0b-aff3-d11d7adf51bb
けち,けち,ac8f22d2-1f90-49c4-9e7b-1661506ac91e
強引,ごういん,b2dc3c6b-294e-4d15-883f-6ddcc7c2c71d
興奮しやすい,こうふんしやすい,91d26546-1c09-402d-9f56-b5102e617f22
ご機嫌取り,ごきげんとり,c719613e-7c02-438a-ba5c-b876e6a69b9a
孤独,こどく,c6928e0e-e94a-4fd2-b3de-d1481bb4b4ae
事なかれ主義,ことなかれしゅぎ,4ad13d9b-f009-4c33-bfdc-0464136201a6
ことわれない,ことわれない,73ceffb0-489e-498f-bfdc-ea953f91ecca
さわがしい,さわがしい,19e523fc-804d-40a3-a0f4-04188a55c194
仕切り屋,しきりや,1ff99537-0bb9-431a-b285-8ea700a059ca
しつこい,しつこい,83f5cb78-4cab-4ded-93c9-1d47053f7366
自分勝手,じぶんかって,1a34b127-a40f-4475-bb47-fd94ec8767b5
自分がない,じぶんがない,4a2db263-a629-4137-9d5d-17df2b9f8b07
自慢しがち,じまんしがち,e8de25bb-907a-402d-8302-17a5cad53df9
地味,じみ,087f37d2-17bc-412c-835a-bf2334b5619b
視野が狭い,しやがせまい,1c688134-d2f1-4d53-afb9-33ca0f698bb8
消極的,しょうきょくてき,19c89126-738c-4ec7-8723-1654d66cd6a8
衝動的,しょうどうてき,fd51dcb1-b9b2-440d-a98a-6ad0de9d1bb4
情に流されやすい,じょうにながされやすい,aa166fdf-1e82-4c6c-8ef6-2939fb628639
神経質,しんけいしつ,2e1a3a17-6e30-4485-96c2-0e9a467e5c06
心配性,しんぱいしょう,dbf288db-f1a8-482b-8353-16619fb070b3
ずうずうしい,ずうずうしい,25632b52-047d-48e3-8e4c-59028c00c354
すきがない,すきがない,575728d7-10dc-49c0-b8ff-3fd61da2d9ac
ずるい,ずるい,276ea3e5-64fa-4345-8ef6-9855b4034a33
性格がきつい,せいかくがきつい,d00b1dfa-7b50-4a5f-b1e3-76d9b66c4ed9
責任感がない,せきにんかんがない,81fb1d8d-b725-4ef3-81c7-b5d413c9041c
せっかち,せっかち,e16c26fa-3d7d-45c1-b061-32a54b7fe5dd
外面がいい,そとづらがいい,64e64db5-d5cb-4722-8496-b6bee0605ac4
高望み,たかのぞみ,a1a94a80-f337-4a89-995c-8a01d964e7f2
だまされやすい,だまされやすい,3223e009-528a-4449-9ce3-69446936d28f
頼りない,たよりない,e9bdece5-583a-43e0-af83-4c9e1ad1abcf
だらしない,だらしない,8f610182-30e1-4cc0-92ef-5b9b54cd353a
短気,たんき,5cf00728-554c-42f7-a3d4-3a4cae7da461
淡白,たんぱく,aea702ed-f4ab-44eb-82c1-4e11a004684c
調子がいい,ちょうしがいい,5449238f-f53e-47db-9bd3-33c66ef4c17e
調子に乗りやすい,ちょうしにのりやすい,f7fc6af3-5218-42eb-97de-b9147e1ba3bf
つめたい,つめたい,59e76921-8f69-450c-a6a0-d62d552be164
でしゃばり,でしゃばり,c553900b-f42e-4ba4-a71d-c0a8673a057f
投げやり,なげやり,6dec5e4d-3ecb-4cfc-9c10-dccfebea9020
生意気,なまいき,63725011-7526-4cf7-a142-55b84ec076ba
涙もろい,なみだもろい,b4617267-c702-4a3d-b80e-767ab6a07333
根暗,ねくら,3d91ecb7-de90-49e9-b735-e295fcbc71aa
能天気,のうてんき,8cf51807-7bff-41df-b775-6353cd22338b
のんき,のんき,e51bdce0-2a27-4407-80e2-0d6a9a1f3100
のんびり屋,のんびりや,ef83e7b8-9a0f-4836-b21c-98b7194aaa28
薄情,はくじょう,ca0eebcf-4adb-4666-a172-4ce88fb746b5
八方美人,はっぽうびじん,d87c99a0-e08b-4ccc-9c82-2431f7d6d7b1
反抗的,はんこうてき,8be4561c-16b4-4ad6-a848-6ea50bef9503
引っ込み思案,ひっこみじあん,c79af0b0-36cf-4e4a-933b-e4962b193cc1
人づきあいが下手,ひとづきあいがへた,67978fc9-5f9d-4f6b-aee5-6004b2a82867
人に合わせすぎ,ひとにあわせすぎ,4737ba20-72ab-4799-847c-59389cccbe87
人に厳しい,ひとにきびしい,63b02790-66d1-4525-ad32-877371a87d89
人任せ,ひとまかせ,80852922-cfec-483e-9cea-e19cd4a0a9d2
人をうらやみがち,ひとをうらやみがち,b830828d-b02d-4113-a4d3-cb2dfd070e54
ふざけがち,ふざけがち,fee64cff-9e9e-46b6-bbb6-4cb92edddfb2
プライドが高い,ぷらいどがたかい,4abd5781-4624-4aa6-b2c0-62a364e01324
平凡,へいぼん,02aad741-00c2-42ad-830a-1dfa6c27ff9c
ぼうっとしている,ぼうっとしている,e91c6847-c3c9-4a08-86c3-da916c29c08a
負けず嫌い,まけずぎらい,95e34433-13c0-4512-9a6d-d3dd0cb00d9e
周りを気にしすぎ,まわりをきにしすぎ,75a7c2fd-5cd6-4b33-bcbd-c48157fb18ec
ミーハー,みーはー,8244d3d9-12a3-44ad-baae-b7b2530e4dfa
みえみえ,みえみえ,4cb3fc83-9840-490c-8d4e-910f012e338b
未熟,みじゅく,e310690c-c67e-4947-b8a5-a56eddac0c8c
無口,むくち,d4a3b4bc-0144-450a-9a06-7550419c7e56
